"year","source","d_form","c_code","code","code2","price","generic","volume","cost","prefecture","area","category"
2022,"pharmacy","injection",323,640460006,"3231401H7015",97,0,0,0,"Fukui","Chūbu","Carbohydrate preparations"
2018,"pharmacy","oral",629,621726702,"6290005F1296",61,1,56906,3471266,"Hokkaidō","Hokkaidō","Other chemotherapeutic agents"
2019,"outpatients","oral",396,622655001,"3969108F1027",283.3,0,5575,1579397.5,"Yamagata","Tōhoku","Antidiabetic drugs"
2017,"hospitalized","oral",235,610421071,"2356002X1013",1.35,0,0,0,"Kyōto","Kinki","Laxatives and enemas"
2023,"hospitalized","injection",430,620002928,"4300440D3020",51043,0,0,0,"Yamaguchi","Chūgoku","Radiopharmaceuticals"
2019,"hospitalized","oral",811,610453029,"8114004N6028",1264.7,0,0,0,"Fukui","Chūbu","Opium alkaloid narcotics"
2022,"outpatients","topical",225,622414701,"2259713G1023",2688.8,0,0,0,"Mie","Chūbu","Bronchodilators"
2022,"outpatients","injection",117,622830901,"1179409G6027",63584,0,0,0,"Kōchi","Shikoku","Psychotropic drugs"
2020,"hospitalized","oral",218,620339401,"2183005G1013",10.1,1,28204,284860.4,"Kanagawa","Kantō","Antihyperlipidemic agents"
2019,"hospitalized","injection",399,620007297,"3999407D2200",701,1,513,359613,"Niigata","Chūbu","Metabolic agents not elsewhere classified"
2018,"outpatients","injection",613,646130369,"6139503D2023",1356,0,987,1338372,"Tottori","Chūgoku","Agents mainly active against Gram-positive and Gram-negative bacteria"
2018,"pharmacy","injection",429,622393301,"4291410A2130",16784,1,NA,NA,"Yamaguchi","Chūgoku","Other antineoplastic agents"
2015,"hospitalized","oral",613,620008480,"6132013M2050",39.2,1,7151,280319.2,"Kanagawa","Kantō","Agents mainly active against Gram-positive and Gram-negative bacteria"
2021,"outpatients","injection",323,620735119,"3231401A1019",66,0,0,0,"Shiga","Kinki","Carbohydrate preparations"
2016,"pharmacy","topical",267,620666801,"2679701Q1071",12.3,1,0,0,"Chiba","Kantō","Hair preparations (hair growth agents, depilatories, hair dyes, and hair tonics)"
2019,"pharmacy","topical",235,662350045,"2357701K3051",100.1,1,0,0,"Shiga","Kinki","Laxatives and enemas"
2017,"hospitalized","oral",441,610453057,"4413004C2022",61.7,0,0,0,"Okayama","Chūgoku","Antihistamines"
2016,"hospitalized","oral",112,622168001,"1129009F3044",15.6,1,6491.5,101267.4,"Aomori","Tōhoku","Hypnotics and sedatives; anxiolytics"
2022,"outpatients","injection",441,620004409,"4419401A2083",88,0,0,0,"Ōita","Kyūshū","Antihistamines"
2021,"hospitalized","injection",331,620006238,"3311401H1010",237,0,13381.7,3171462.9,"Tochigi","Kantō","Blood substitutes"
2018,"outpatients","injection",211,620006633,"2115400A1010",92,0,0,0,"Wakayama","Kinki","Cardiotonic agents"
2018,"outpatients","topical",131,660463019,"1319702Q2103",85.2,1,6490,552948,"Tokushima","Shikoku","Ophthalmic preparations"
2018,"pharmacy","oral",396,620002031,"3961007F2022",12.8,0,60408,773222.4,"Kōchi","Shikoku","Antidiabetic drugs"
2017,"outpatients","oral",510,610408902,"5100062X1012",4.84,0,0,0,"Nagano","Chūbu","Crude drugs"
2018,"hospitalized","injection",119,622043601,"1190401G1018",1270,1,1139,1446530,"Fukushima","Tōhoku","Other central nervous system drugs"
2019,"pharmacy","injection",121,620007263,"1214400A8051",94,0,0,0,"Miyazaki","Kyūshū","Local anesthetics"
2020,"pharmacy","oral",625,622283301,"6250019F1268",131.2,1,0,0,"Tottori","Chūgoku","Antiviral agents"
2015,"outpatients","injection",612,621695601,"6123404A2090",810,1,0,0,"Tokyo","Kantō","Agents mainly active against Gram-negative bacteria"
2019,"pharmacy","injection",325,620007454,"3259529G1030",404,0,0,0,"Kumamoto","Kyūshū","Protein and amino acid preparations"
2020,"pharmacy","oral",811,622685501,"8119002G7030",327,1,3509,1147443,"Kagawa","Shikoku","Opium alkaloid narcotics"
2015,"pharmacy","oral",211,620005568,"2113005F1048",5.8,1,27925.75,161969.35,"Ehime","Shikoku","Cardiotonic agents"
2019,"pharmacy","oral",241,622134901,"2419001F2020",323.7,0,89385,28933924.5,"Hokkaidō","Hokkaidō","Pituitary hormone preparations"
2017,"pharmacy","oral",236,620001968,"2362001D1060",7.4,0,106095.14,785104.036,"Fukushima","Tōhoku","Choleretic agents"
2016,"pharmacy","topical",821,621988602,"8219701S2021",1094,0,65704,71880176,"Saitama","Kantō","Synthetic narcotics"
2015,"hospitalized","oral",212,610421339,"2129013F1026",145.5,0,1509.5,219632.25,"Tochigi","Kantō","Antiarrhythmic agents"
2020,"hospitalized","injection",399,620889604,"3999403D1019",131,1,22855,2994005,"Ōsaka","Kinki","Metabolic agents not elsewhere classified"
2016,"outpatients","topical",239,620009024,"2399706M1109",55.7,1,18373.4,1023398.38,"Ehime","Shikoku","Other gastrointestinal drugs"
2018,"pharmacy","oral",113,620008565,"1139009F4020",231.6,0,4657021.65,1078566214.14,"Tokyo","Kantō","Antiepileptics"
2020,"outpatients","oral",625,622295901,"6250019F1233",131.2,1,9383.5,1231115.2,"Miyazaki","Kyūshū","Antiviral agents"
2019,"hospitalized","injection",249,622114401,"2492413P2020",1590,0,0,0,"Ōita","Kyūshū","Other hormonal preparations (including antihormonal agents)"
2020,"hospitalized","oral",124,620000514,"1249351B1010",7,0,0,0,"Aomori","Tōhoku","Antispasmodics"
2018,"outpatients","injection",392,620005724,"3929407D1039",787,1,0,0,"Ehime","Shikoku","Antidotes"
2019,"hospitalized","injection",342,622396501,"3420432A1046",686,1,0,0,"Fukui","Chūbu","Peritoneal dialysis agents"
2018,"hospitalized","injection",625,621660102,"6250401G4036",912,1,0,0,"Mie","Chūbu","Antiviral agents"
2022,"pharmacy","injection",243,622699001,"2439401G1024",5995,0,36383,218116085,"Ōita","Kyūshū","Thyroid and parathyroid hormone preparations"
2020,"pharmacy","oral",211,622718100,"2119003D1017",6.4,1,0,0,"Shimane","Chūgoku","Cardiotonic agents"
2019,"outpatients","oral",225,620004933,"2259003F1124",13,0,0,0,"Kumamoto","Kyūshū","Bronchodilators"
2015,"outpatients","oral",449,622188101,"4490025F2151",25.9,1,15632,404868.8,"Tochigi","Kantō","Other antiallergic agents"
2023,"outpatients","oral",721,610444103,"7212029X1031",1.23,0,5700,7011,"Yamaguchi","Chūgoku","X-ray contrast media"
2016,"hospitalized","topical",225,621952001,"2259707S3155",35.9,1,8675.5,311450.45,"Tochigi","Kantō","Bronchodilators"
2018,"outpatients","oral",133,622174201,"1339005F2195",6.3,1,0,0,"Nagasaki","Kyūshū","Antivertigo drugs"
2019,"outpatients","oral",214,621980801,"2149114F1021",96.2,0,29392,2827510.4,"Fukui","Chūbu","Antihypertensive agents"
2018,"hospitalized","oral",218,622098401,"2189015F1058",19.1,1,1857.5,35478.25,"Wakayama","Kinki","Antihyperlipidemic agents"
2016,"pharmacy","topical",239,620007558,"2399702E1033",9.3,0,0,0,"Iwate","Tōhoku","Other gastrointestinal drugs"
2016,"pharmacy","oral",799,617900003,"7990001S2015",1,0,17465,17465,"Shiga","Kinki","Non-therapeutic pharmaceutical agents not elsewhere classified"
2015,"hospitalized","injection",721,621190301,"7219416H2030",2438,0,0,0,"Hiroshima","Chūgoku","X-ray contrast media"
2018,"outpatients","injection",211,620003226,"2119404G6039",678,1,0,0,"Aomori","Tōhoku","Cardiotonic agents"
2023,"pharmacy","injection",613,622419601,"6139504F3033",656,0,0,0,"Saga","Kyūshū","Agents mainly active against Gram-positive and Gram-negative bacteria"
2016,"outpatients","injection",429,622371801,"4291410A1126",12276,1,0,0,"Nagasaki","Kyūshū","Other antineoplastic agents"
2015,"hospitalized","oral",339,622341601,"3399102F1026",89.3,0,32763,2925735.9,"Mie","Chūbu","Other blood and body fluid agents"
2018,"pharmacy","oral",234,620000660,"2344004X1011",0.72,0,0,0,"Akita","Tōhoku","Antacids"
2016,"hospitalized","oral",520,615101489,"5200116D1060",14.6,0,0,0,"Gunma","Kantō","Kampo preparations"
2020,"pharmacy","injection",342,622299901,"3420434A1029",1034,0,0,0,"Ishikawa","Chūbu","Peritoneal dialysis agents"
2017,"hospitalized","oral",614,620003935,"6149003F2143",33.5,1,0,0,"Miyazaki","Kyūshū","Agents mainly active against Gram-positive bacteria and Mycoplasma"
2019,"outpatients","injection",241,642410032,"2413402X4013",860,0,0,0,"Gunma","Kantō","Pituitary hormone preparations"
2018,"outpatients","oral",114,620098401,"1149019C1149",26.5,0,0,0,"Aomori","Tōhoku","Antipyretic, analgesic and anti-inflammatory drugs"
2022,"outpatients","oral",312,620681602,"3122004F2132",5.1,0,3289,16773.9,"Hiroshima","Chūgoku","Vitamin B1 preparations"
2022,"pharmacy","injection",229,629919001,"2290403G1025",176253,0,0,0,"Toyama","Chūbu","Other respiratory drugs"
2023,"hospitalized","oral",622,620004918,"6221001D1036",32.8,0,0,0,"Yamaguchi","Chūgoku","Antituberculosis agents"
2022,"pharmacy","oral",217,621471701,"2171023F2011",7.7,1,705399,5431572.3,"Gifu","Chūbu","Vasodilators"
2023,"hospitalized","topical",265,620007606,"2655707Q1034",19.9,0,0,0,"Toyama","Chūbu","Antiparasitic dermatological agents"
2023,"pharmacy","oral",119,622826601,"1190017F2050",24.3,1,674900,16400070,"Saitama","Kantō","Other central nervous system drugs"
2015,"pharmacy","oral",624,622372701,"6241013F5020",226.4,1,0,0,"Toyama","Chūbu","Synthetic antibacterial agents"
2018,"hospitalized","oral",629,621148801,"6290100F2018",19.3,0,144353.95,2786031.235,"Chiba","Kantō","Other chemotherapeutic agents"
2018,"outpatients","injection",429,622364901,"4291427A2020",278029,0,3238.6,900424719.4,"Fukushima","Tōhoku","Other antineoplastic agents"
2015,"pharmacy","topical",333,620813601,"3339950N1060",10.1,1,0,0,"Ishikawa","Chūbu","Anticoagulants"
2021,"outpatients","oral",613,620009117,"6131001M2335",10.1,1,34599,349449.9,"Ibaraki","Kantō","Agents mainly active against Gram-positive and Gram-negative bacteria"
2016,"pharmacy","topical",265,620004827,"2655702N1060",14.9,0,90059,1341879.1,"Hiroshima","Chūgoku","Antiparasitic dermatological agents"
2016,"pharmacy","topical",131,620008268,"1319743Q1033",105.1,0,238379.5,25053685.45,"Iwate","Tōhoku","Ophthalmic preparations"
2022,"hospitalized","oral",424,620003642,"4240001M1067",575.1,0,0,0,"Kagawa","Shikoku","Antineoplastic plant-derived preparations"
2015,"pharmacy","oral",247,620009249,"2474001F1017",38.1,0,110658,4216069.8,"Mie","Chūbu","Estrogen and progestogen preparations"
2021,"pharmacy","oral",312,620682801,"3122007F2063",5.5,1,1184563.8,6515100.9,"Tochigi","Kantō","Vitamin B1 preparations"
2018,"pharmacy","oral",332,613320103,"3321002F2269",9.2,1,62468,574705.6,"Shiga","Kinki","Hemostatic agents"
2022,"pharmacy","oral",124,621228117,"1249010F1018",5.9,1,4403,25977.7,"Kagawa","Shikoku","Antispasmodics"
2018,"hospitalized","injection",259,620570101,"2590402A1253",305,1,822,250710,"Kagoshima","Kyūshū","Other genitourinary and anorectal drugs"
2016,"outpatients","oral",339,622373101,"3399002F4019",33.1,1,172601.5,5713109.65,"Hokkaidō","Hokkaidō","Other blood and body fluid agents"
2015,"hospitalized","oral",616,620004093,"6164001M1186",17.6,1,27483,483700.8,"Tokushima","Shikoku","Agents mainly active against mycobacteria"
2022,"pharmacy","topical",226,660463002,"2260700F1021",32.4,1,98925,3205170,"Tottori","Chūgoku","Gargles"
2017,"hospitalized","oral",235,620007125,"2359005S1224",9.8,1,94410.5,925222.9,"Aomori","Tōhoku","Laxatives and enemas"
2019,"hospitalized","topical",229,620004890,"2290702G3028",2242.8,0,0,0,"Tokushima","Shikoku","Other respiratory drugs"
2020,"pharmacy","oral",113,610453040,"1139002F2042",5.7,1,1998257,11390064.9,"Ōsaka","Kinki","Antiepileptics"
2017,"pharmacy","injection",331,640421009,"3311401A9012",149,0,0,0,"Tochigi","Kantō","Blood substitutes"
2015,"pharmacy","injection",241,621809004,"2413400D5049",1639,1,0,0,"Ibaraki","Kantō","Pituitary hormone preparations"
2017,"hospitalized","oral",119,622046001,"1190019F3020",241.6,0,1705,411928,"Chiba","Kantō","Other central nervous system drugs"
2017,"hospitalized","topical",225,620004237,"2259707S3082",35.9,1,7159,257008.1,"Tochigi","Kantō","Bronchodilators"
2020,"pharmacy","oral",212,621643101,"2129008M2012",31.1,1,64256,1998361.6,"Ōita","Kyūshū","Antiarrhythmic agents"
2018,"pharmacy","oral",114,621520803,"1141007F1152",7.1,1,97221.5,690272.65,"Fukui","Chūbu","Antipyretic, analgesic and anti-inflammatory drugs"
2020,"hospitalized","injection",119,622147101,"1190401G1190",1404,1,6621.5,9296586,"Shizuoka","Chūbu","Other central nervous system drugs"
2021,"hospitalized","oral",119,622243701,"1190022H1020",46,0,4176,192096,"Shiga","Kinki","Other central nervous system drugs"
2020,"pharmacy","oral",811,622016901,"8119002B2023",56.8,0,12201,693016.8,"Saga","Kyūshū","Opium alkaloid narcotics"
2022,"pharmacy","oral",396,621980701,"3969011F1020",65.5,0,4754120.3,311394879.65,"Hiroshima","Chūgoku","Antidiabetic drugs"
2019,"outpatients","oral",217,621685201,"2171014G5092",25.8,1,61158,1577876.4,"Mie","Chūbu","Vasodilators"
2022,"hospitalized","injection",624,620002581,"6241400A4021",1774,0,0,0,"Kyōto","Kinki","Synthetic antibacterial agents"
2017,"outpatients","oral",614,622411501,"6149004C1102",149,1,0,0,"Yamanashi","Chūbu","Agents mainly active against Gram-positive bacteria and Mycoplasma"
2021,"outpatients","topical",235,620485302,"2357701K6239",107.7,0,14177.644,1526932.2588,"Kanagawa","Kantō","Laxatives and enemas"
2019,"pharmacy","oral",232,620009462,"2329021F1064",9.9,1,622911,6166818.9,"Nagano","Chūbu","Anti-peptic ulcer agents"
2019,"hospitalized","oral",121,620169201,"1219003F1060",5.6,1,0,0,"Kyōto","Kinki","Local anesthetics"
2018,"hospitalized","oral",232,621780301,"2329023F1128",26.4,1,27614,729009.6,"Ehime","Shikoku","Anti-peptic ulcer agents"
2019,"outpatients","injection",342,622301101,"3420437A3025",1723,0,0,0,"Kōchi","Shikoku","Peritoneal dialysis agents"
2018,"outpatients","oral",133,620004531,"1339005F1326",6,1,2439,14634,"Toyama","Chūbu","Antivertigo drugs"
2023,"hospitalized","topical",121,622770600,"1214701S1019",31.7,1,0,0,"Gifu","Chūbu","Local anesthetics"
2023,"hospitalized","topical",712,621170926,"7122704X1285",2.01,0,0,0,"Nagano","Chūbu","Ointment bases"
2018,"outpatients","injection",399,620004685,"3999408G1255",1082,0,471979.51,510681829.82,"Fukuoka","Kyūshū","Metabolic agents not elsewhere classified"
2015,"hospitalized","oral",624,621925701,"6241013F2020",253.6,0,38292,9710851.2,"Saitama","Kantō","Synthetic antibacterial agents"
2016,"outpatients","oral",113,610443011,"1139006F1028",21.6,0,9491,205005.6,"Iwate","Tōhoku","Antiepileptics"
2016,"hospitalized","oral",235,620492501,"2359108F1066",5.6,1,34910,195496,"Kagoshima","Kyūshū","Laxatives and enemas"
2023,"hospitalized","topical",239,620007558,"2399702E1033",8.2,0,0,0,"Tokushima","Shikoku","Other gastrointestinal drugs"
2023,"hospitalized","injection",722,622256801,"7225403A2023",8144,0,0,0,"Tokyo","Kantō","Diagnostic reagents for functional testing"
2023,"outpatients","topical",265,620005307,"2659710R1049",38,0,0,0,"Okinawa","Kyūshū","Antiparasitic dermatological agents"
2018,"pharmacy","oral",124,620193013,"1249009F1465",5.8,1,369851.5,2145138.7,"Kagoshima","Kyūshū","Antispasmodics"
2017,"pharmacy","injection",323,620006649,"3231401H7015",97,0,0,0,"Gifu","Chūbu","Carbohydrate preparations"
2021,"outpatients","oral",613,620006919,"6131001M2300",11,0,53988,593868,"Kumamoto","Kyūshū","Agents mainly active against Gram-positive and Gram-negative bacteria"
2021,"pharmacy","oral",112,610444126,"1124008F1016",5.7,1,1655497.25,9436334.325,"Ibaraki","Kantō","Hypnotics and sedatives; anxiolytics"
2023,"hospitalized","oral",429,622336001,"4299100F1026",2511,0,0,0,"Nara","Kinki","Other antineoplastic agents"
2016,"hospitalized","injection",249,620008916,"2492414A2030",389,0,686.76,267149.64,"Kumamoto","Kyūshū","Other hormonal preparations (including antihormonal agents)"
2015,"outpatients","injection",613,640470010,"6132408G3020",895,0,0,0,"Hiroshima","Chūgoku","Agents mainly active against Gram-positive and Gram-negative bacteria"
2021,"pharmacy","injection",113,622670501,"1139404A1024",4310,0,0,0,"Yamanashi","Chūbu","Antiepileptics"
2016,"hospitalized","oral",235,620007046,"2359005M1080",5.8,1,0,0,"Miyazaki","Kyūshū","Laxatives and enemas"
2016,"pharmacy","oral",429,622431001,"4291015F1123",215,1,29666,6378190,"Okinawa","Kyūshū","Other antineoplastic agents"
2018,"pharmacy","oral",314,613140016,"3140001B1066",7.4,0,0,0,"Niigata","Chūbu","Vitamin C preparations"
2016,"hospitalized","injection",211,620005187,"2119404A1018",261,1,0,0,"Ehime","Shikoku","Cardiotonic agents"
2016,"outpatients","topical",821,622042001,"8219700T2022",1094,0,3931,4300514,"Tokyo","Kantō","Synthetic narcotics"
2016,"hospitalized","oral",234,622039101,"2344009C1039",12.6,1,3078.771,38792.5146,"Kagawa","Shikoku","Antacids"
2018,"hospitalized","oral",211,620003065,"2113003F1014",9.6,0,0,0,"Tokushima","Shikoku","Cardiotonic agents"
2019,"pharmacy","oral",119,622046401,"1190019S1026",91.1,0,22390,2039729,"Saitama","Kantō","Other central nervous system drugs"
2018,"outpatients","topical",332,620805001,"3326700X1033",205.3,0,2846.3,584345.39,"Hiroshima","Chūgoku","Hemostatic agents"
2018,"outpatients","oral",123,611230132,"1231014F1011",9.9,0,0,0,"Yamanashi","Chūbu","Autonomic nervous system agents"
2016,"pharmacy","oral",520,615101449,"5200071D1037",9,0,241442.75,2172984.75,"Wakayama","Kinki","Kampo preparations"
2015,"outpatients","oral",239,610451013,"2399012M1026",133.6,0,0,0,"Miyazaki","Kyūshū","Other gastrointestinal drugs"
2021,"pharmacy","topical",265,621817201,"2659710Q1019",12.2,1,64340,784948,"Shizuoka","Chūbu","Antiparasitic dermatological agents"
2023,"outpatients","oral",510,620961305,"5100052X1019",2.88,0,0,0,"Ehime","Shikoku","Crude drugs"
2016,"hospitalized","oral",641,622532901,"6419102F1024",242.3,0,0,0,"Wakayama","Kinki","Antiprotozoal agents"
2021,"outpatients","oral",429,622671401,"4291009F2124",192,1,44662,8575104,"Aichi","Chūbu","Other antineoplastic agents"
2016,"outpatients","injection",239,622008402,"2391403A1076",1957,1,0,0,"Kyōto","Kinki","Other gastrointestinal drugs"
2019,"hospitalized","oral",613,616130469,"6132005E1020",103.5,0,0,0,"Tochigi","Kantō","Agents mainly active against Gram-positive and Gram-negative bacteria"
2015,"outpatients","injection",811,620003067,"8114401A1015",299,0,0,0,"Shimane","Chūgoku","Opium alkaloid narcotics"
2016,"pharmacy","oral",441,620008772,"4411001F1040",5.8,0,6378,36992.4,"Shimane","Chūgoku","Antihistamines"
2023,"pharmacy","topical",821,622700801,"8219700T6028",781.3,1,0,0,"Ōsaka","Kinki","Synthetic narcotics"
2021,"pharmacy","injection",249,620008945,"2492416A3036",333,0,0,0,"Yamanashi","Chūbu","Other hormonal preparations (including antihormonal agents)"
2018,"pharmacy","oral",714,620001259,"7149007X1153",1.53,0,0,0,"Saga","Kyūshū","Flavoring, deodorizing, and coloring agents"
2018,"pharmacy","oral",114,620100001,"1149019F1617",7.8,1,144936,1130500.8,"Fukui","Chūbu","Antipyretic, analgesic and anti-inflammatory drugs"
2023,"pharmacy","topical",225,622363901,"2259806G1021",1553.4,0,2309,3586800.6,"Ōsaka","Kinki","Bronchodilators"
2020,"pharmacy","oral",233,620462212,"2333001X1227",1.77,0,0,0,"Gifu","Chūbu","Digestive agents"
2016,"hospitalized","topical",225,620005752,"2259707S3120",45.4,1,0,0,"Saga","Kyūshū","Bronchodilators"
2017,"outpatients","oral",117,622200701,"1179042F2107",49.8,1,78633.5,3915948.3,"Kyōto","Kinki","Psychotropic drugs"
2022,"pharmacy","injection",219,622085903,"2190402D3013",309,1,0,0,"Wakayama","Kinki","Other cardiovascular drugs"
2020,"pharmacy","oral",223,620389448,"2239001F1017",5.7,1,3391,19328.7,"Yamanashi","Chūbu","Expectorants"
2022,"hospitalized","injection",611,621066003,"6113400A1200",1022,0,0,0,"Ishikawa","Chūbu","Agents mainly active against Gram-positive bacteria"
2018,"hospitalized","oral",235,620000683,"2356001X1124",1.35,0,0,0,"Fukuoka","Kyūshū","Laxatives and enemas"
2016,"hospitalized","topical",269,620003055,"2699704M1033",70.3,0,5420,381026,"Nagano","Chūbu","Other dermatological preparations"
2023,"pharmacy","oral",613,620004080,"6132015F1037",48.3,0,132120,6381396,"Ishikawa","Chūbu","Agents mainly active against Gram-positive and Gram-negative bacteria"
2021,"hospitalized","oral",339,622256201,"3399002F3012",10.5,1,16804,176442,"Aomori","Tōhoku","Other blood and body fluid agents"
2019,"hospitalized","injection",232,640451009,"2329403D1025",405,0,2886,1168830,"Ishikawa","Chūbu","Anti-peptic ulcer agents"
2018,"outpatients","topical",333,620813702,"3339950N1019",5.3,1,2019,10700.7,"Tokyo","Kantō","Anticoagulants"
2021,"pharmacy","oral",394,620856218,"3943001F1012",7.8,1,18081,141031.8,"Fukuoka","Kyūshū","Anti-gout agents"
2017,"outpatients","oral",614,610443024,"6149004M1027",188.3,0,8490,1598667,"Kyōto","Kinki","Agents mainly active against Gram-positive bacteria and Mycoplasma"
2020,"hospitalized","topical",131,620007764,"1315704Q3126",43,0,4587.4,197258.2,"Kagoshima","Kyūshū","Ophthalmic preparations"
2016,"hospitalized","injection",322,620004635,"3229401G1021",183,1,558,102114,"Nara","Kinki","Mineral preparations"
2022,"pharmacy","oral",714,620001255,"7149007X1072",1.56,0,0,0,"Kyōto","Kinki","Flavoring, deodorizing, and coloring agents"
2016,"outpatients","injection",217,622028501,"2171403A7046",3046,0,0,0,"Niigata","Chūbu","Vasodilators"
2015,"outpatients","oral",327,621491001,"3279104X2037",10,0,0,0,"Kagawa","Shikoku","Infant preparations"
2017,"hospitalized","oral",212,620001874,"2123016F1018",13.6,1,4962.25,67486.6,"Saitama","Kantō","Antiarrhythmic agents"
2019,"pharmacy","oral",714,620001195,"7142001X1139",0.92,0,19679.5,18105.14,"Yamanashi","Chūbu","Flavoring, deodorizing, and coloring agents"
2022,"hospitalized","topical",712,667120033,"7121703X1011",2.09,0,170116.5,355543.485,"Kumamoto","Kyūshū","Ointment bases"
2019,"hospitalized","oral",325,621520901,"3253003D1108",75.6,1,4441,335739.6,"Shimane","Chūgoku","Protein and amino acid preparations"
2016,"pharmacy","oral",399,620004357,"3999018F2028",591.7,0,79298,46920626.6,"Gunma","Kantō","Metabolic agents not elsewhere classified"
2016,"hospitalized","injection",211,620003227,"2119404A1018",261,1,0,0,"Yamaguchi","Chūgoku","Cardiotonic agents"
2018,"outpatients","injection",121,640451003,"1214405A4024",889,0,1704.5,1515300.5,"Aichi","Chūbu","Local anesthetics"
